ISO,FIPS,DHSCC,SVYTYPE,SVYYEAR,CNTRYNAMEE,CNTRYNAMEF,CNTRYNAMES,DHSREGEN,DHSREGFR,DHSREGSP,SVYID,REG_ID,Svy_Map,MULTLEVEL,LEVELRNK,REGVAR,REGCODE,REGNAME,OTHREGVAR,OTHREGCO,OTHREGNA,LEVELCO,LEVELNA,REPALLIND,REGNOTES,SVYNOTES
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Baringo,,,451.00000000000,KEDHS2014416058,yes,yes,2.00000000000,shcounty,58.00000000000,baringo,hv024,5.00000000000,rift valley,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Bomet,,,451.00000000000,KEDHS2014416064,yes,yes,2.00000000000,shcounty,64.00000000000,bomet,hv024,5.00000000000,rift valley,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Bungoma,,,451.00000000000,KEDHS2014416073,yes,yes,2.00000000000,shcounty,73.00000000000,bungoma,hv024,7.00000000000,western,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Busia,,,451.00000000000,KEDHS2014416074,yes,yes,2.00000000000,shcounty,74.00000000000,busia,hv024,7.00000000000,western,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Elgeyo Marakwet,,,451.00000000000,KEDHS2014416056,yes,yes,2.00000000000,shcounty,56.00000000000,elgeyo marakwet,hv024,5.00000000000,rift valley,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Embu,,,451.00000000000,KEDHS2014416035,yes,yes,2.00000000000,shcounty,35.00000000000,embu,hv024,3.00000000000,eastern,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Garissa,,,451.00000000000,KEDHS2014416021,yes,yes,2.00000000000,shcounty,21.00000000000,garissa,hv024,2.00000000000,north eastern,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Homa Bay,,,451.00000000000,KEDHS2014416083,yes,yes,2.00000000000,shcounty,83.00000000000,homa bay,hv024,8.00000000000,nyanza,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Isiolo,,,451.00000000000,KEDHS2014416032,yes,yes,2.00000000000,shcounty,32.00000000000,isiolo,hv024,3.00000000000,eastern,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Kajiado,,,451.00000000000,KEDHS2014416062,yes,yes,2.00000000000,shcounty,62.00000000000,kajiado,hv024,5.00000000000,rift valley,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Kakamega,,,451.00000000000,KEDHS2014416071,yes,yes,2.00000000000,shcounty,71.00000000000,kakamega,hv024,7.00000000000,western,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Kericho,,,451.00000000000,KEDHS2014416063,yes,yes,2.00000000000,shcounty,63.00000000000,kericho,hv024,5.00000000000,rift valley,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Kiambu,,,451.00000000000,KEDHS2014416045,yes,yes,2.00000000000,shcounty,45.00000000000,kiambu,hv024,4.00000000000,central,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Kilifi,,,451.00000000000,KEDHS2014416013,yes,yes,2.00000000000,shcounty,13.00000000000,kilifi,hv024,1.00000000000,coast,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Kirinyaga,,,451.00000000000,KEDHS2014416043,yes,yes,2.00000000000,shcounty,43.00000000000,kirinyaga,hv024,4.00000000000,central,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Kisii,,,451.00000000000,KEDHS2014416085,yes,yes,2.00000000000,shcounty,85.00000000000,kisii,hv024,8.00000000000,nyanza,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Kisumu,,,451.00000000000,KEDHS2014416082,yes,yes,2.00000000000,shcounty,82.00000000000,kisumu,hv024,8.00000000000,nyanza,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Kitui,,,451.00000000000,KEDHS2014416036,yes,yes,2.00000000000,shcounty,36.00000000000,kitui,hv024,3.00000000000,eastern,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
KE,KE,KE,DHS,2014.00000000000,Kenya,,,Kwale,,,451.00000000000,KEDHS2014416012,yes,yes,2.00000000000,shcounty,12.00000000000,kwale,hv024,1.00000000000,coast,Admin1,Counties,no,,"Survey is representative at two levels: 47 regions as 47 admin1 (county) areas, and 8 regions as groups of admin1 areas"
